run_date,start_date,artists_tracked,blacklisted_artists,albums_tracked,artists_augmented,albums_augmented,tracks_eligible,tracks_added,tracks_removed
5/27/2020,5/25/2020,1401.0,140.0,57110.0,0.0,0.0,0.0,0.0,0.0
5/28/2020,5/26/2020,1401.0,140.0,57110.0,0.0,128.0,1226.0,486.0,740.0
5/29/2020,5/27/2020,1401.0,140.0,57214.0,1.0,74.0,828.0,381.0,447.0
2020/05/31,2020-05-29,1402.0,159.0,57279.0,-7.0,76.0,932.0,383.0,549.0
2020/06/01,2020-05-30,1395.0,160.0,56467.0,-1.0,0.0,0.0,0.0,0.0
2020/06/02,2020-05-31,1394.0,160.0,56390.0,2.0,80.0,1892.0,845.0,1047.0
2020/06/03,2020-06-01,1396.0,162.0,56456.0,0.0,18.0,684.0,292.0,392.0
2020/06/04,2020-06-02,1396.0,164.0,56152.0,-2.0,59.0,381.0,183.0,198.0
2020/06/05,2020-06-03,1398.0,164.0,56012.0,0.0,146.0,1904.0,769.0,1135.0
2020/06/06,2020-06-04,1398.0,164.0,56136.0,1.0,995.0,5502.0,4186.0,1316.0
2020/06/08,2020-06-06,0.0,164.0,57120.0,1383.0,194.0,1924.0,789.0,1135.0
2020/06/09,2020-06-07,1383.0,167.0,56206.0,0.0,60.0,246.0,121.0,125.0
2020/06/10,2020-06-08,1383.0,173.0,55221.0,-2.0,31.0,325.0,158.0,167.0
2020/06/12,2020-06-10,1381.0,176.0,55083.0,1.0,152.0,1268.0,605.0,663.0
2020/06/15,2020-06-13,1382.0,185.0,54996.0,-4.0,46.0,399.0,206.0,193.0
2020/06/16,2020-06-14,1378.0,185.0,54544.0,1.0,14.0,148.0,74.0,74.0
2020/06/17,2020-06-15,1379.0,185.0,54554.0,0.0,50.0,180.0,88.0,92.0
2020/06/19,2020-06-17,1379.0,185.0,54593.0,2.0,119.0,1611.0,595.0,1016.0
2020/06/23,2020-06-21,1381.0,185.0,54687.0,2.0,163.0,1491.0,684.0,807.0
2020/06/30,2020-06-28,1383.0,192.0,54804.0,0.0,283.0,2840.0,1136.0,1704.0
2020/07/01,2020-06-29,1383.0,192.0,54886.0,0.0,10.0,81.0,52.0,29.0
2020/07/02,2020-06-30,1383.0,192.0,54835.0,1.0,94.0,432.0,205.0,227.0
2020/07/08,2020-07-06,1384.0,192.0,54908.0,4.0,330.0,6021.0,2689.0,3332.0
2020/07/14,2020-07-12,1388.0,192.0,55135.0,2.0,401.0,6907.0,3259.0,3648.0
2020/07/27,2020-07-25,1390.0,192.0,55425.0,3.0,595.0,7227.0,3257.0,3970.0
2020/08/11,2020-08-09,1398.0,192.0,56153.0,0.0,20.0,368.0,112.0,256.0
2020/08/12,2020-08-11,1398.0,192.0,46311.0,0.0,26.0,146.0,58.0,88.0
2020/08/13,2020-08-12,1398.0,192.0,46329.0,0.0,41.0,389.0,171.0,218.0
2020/08/19,2020-08-18,1398.0,192.0,46350.0,0.0,152.0,1594.0,637.0,957.0
